family_key,family_type,software_id,ecu_primary,doc_count,doc_paths,bootloader_ids,hardware_ids,ecu_candidates,brand_candidates,firmware_features,firmware_roles,firmware_file_count
ECU:DCM 7.1AP,ecu,,DCM 7.1AP,2,bosch-mg1us008-1668.html|bosch-mg1us008-980.html,,,DCM 7.1AP|EDC17C53|ME17.8.8|ME17U6|MG1US008|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TANK|TOYOTA,,,0
ECU:DCM7.1AP,ecu,,DCM7.1AP,1,bosch-mg1us008-2588.html,,,DCM7.1AP|EDC17C81|MG1US008,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,0
ECU:EDC17C53,ecu,,EDC17C53,1,bosch-mg1us008-1668.html,,,DCM 7.1AP|EDC17C53|ME17.8.8|MG1US008,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TANK|TOYOTA,,,0
ECU:EDC17C81,ecu,,EDC17C81,2,bosch-mg1us008-2450.html|bosch-mg1us008-2588.html,,,DCM7.1AP|EDC17C81|MG1US008,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,0
ECU:ME17.8.8,ecu,,ME17.8.8,4,bosch-mg1ua008-1350.html|bosch-mg1us008-1668.html|bosch-mg1us008-954.html|bosch-mg1us008-980.html,,,DCM 7.1AP|EDC17C53|ME17.8.8|ME17U6|MED17.8.10|MG1UA008|MG1US008|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TANK|TOYOTA,,,0
ECU:ME17U6,ecu,,ME17U6,2,bosch-mg1us008-938.html|bosch-mg1us008-980.html,,,DCM 7.1AP|ME17.8.8|ME17U6|MED17.8.10|MG1US008|MT20U|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|EXEED|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,0
ECU:MED17.8.10,ecu,,MED17.8.10,3,bosch-mg1ua008-1350.html|bosch-mg1us008-938.html|bosch-mg1us008-954.html,,,ME17.8.8|ME17U6|MED17.8.10|MG1UA008|MG1US008|MT20U|MT92,BAIC|CHANGAN|CHERY|DONGFENG|EXEED|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,0
ECU:MG1UA008,ecu,,MG1UA008,3,bosch-mg1ua008-1350.html|bosch-mg1ua008-2400.html|bosch-mg1us008-954.html,,,ME17.8.8|MED17.8.10|MG1UA008|MG1US008|MT92,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,0
ECU:MG1US008,ecu,,MG1US008,8,bosch-mg1ua008-1350.html|bosch-mg1us008-1668.html|bosch-mg1us008-2450.html|bosch-mg1us008-2561.html|bosch-mg1us008-2588.html|bosch-mg1us008-938.html|bosch-mg1us008-954.html|bosch-mg1us008-980.html,,,DCM 7.1AP|DCM7.1AP|EDC17C53|EDC17C81|ME17.8.8|ME17U6|MED17.8.10|MG1UA008|MG1US008|MT20U|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|EXEED|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TANK|TOYOTA,,,0
ECU:MT20U,ecu,,MT20U,1,bosch-mg1us008-938.html,,,ME17U6|MED17.8.10|MG1US008|MT20U,BAIC|CHANGAN|CHERY|DONGFENG|EXEED|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,0
ECU:MT22.1,ecu,,MT22.1,1,bosch-mg1us008-980.html,,,DCM 7.1AP|ME17.8.8|ME17U6|MG1US008|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,0
ECU:MT92,ecu,,MT92,3,bosch-mg1ua008-1350.html|bosch-mg1us008-954.html|bosch-mg1us008-980.html,,,DCM 7.1AP|ME17.8.8|ME17U6|MED17.8.10|MG1UA008|MG1US008|MT22.1|MT92,BAIC|CHANGAN|CHERY|DONGFENG|FAW|GAC|GEELY|GREAT WALL|GREAT-WALL|HAVAL|JAC|LEXUS|TOYOTA,,,0
